TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
6|400|8|56.67
11|400|15|58.20
16|400|74|72.51
21|400|85|76.55
27|400|130|86.18
66|400|104|82.65
73|400|119|87.37
106|400|115|87.54
112|400|92|83.33
120|309|106|74.68
129|302|153|83.80
136|300|153|83.54
153|300|158|84.60
159|300|168|86.73
165|300|170|87.16
199|300|169|86.95
214|211|169|75.58
220|200|195|79.71
227|200|197|80.13
273|200|188|78.22
279|200|197|80.13
305|110|197|68.63
310|100|208|69.70
316|100|254|79.49
322|100|261|80.98
369|100|259|80.56
384|100|261|80.98
399|172|261|90.18
419|172|259|89.76
428|172|261|90.18
455|172|188|74.64
460|200|187|78.00
468|200|216|84.18
481|200|234|88.01
488|226|234|91.33
501|227|229|90.40
507|233|230|91.38
538|233|159|76.26
544|233|189|82.65
550|248|219|90.95
577|248|213|89.67
584|256|209|89.84
591|263|209|90.74
613|263|202|89.25
622|344|162|91.08
630|345|150|88.65
637|345|162|91.21
661|345|146|87.80
668|345|157|90.14
675|349|157|90.65
683|353|157|91.16
704|353|154|90.52
710|361|152|91.12
716|358|152|90.74
722|233|152|74.77
726|145|152|63.52
731|63|147|51.64
735|12|78|26.55
740|2|78|22.72
744|0|0|3.94
