TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.26
9|400|15|58.20
14|400|50|65.65
20|400|60|67.78
25|400|94|76.77
30|400|129|85.92
85|400|127|87.88
110|400|99|82.43
116|400|69|76.04
122|400|84|80.43
128|311|126|78.00
137|300|174|86.82
169|300|170|85.97
177|300|174|88.01
211|300|173|87.80
218|247|173|81.03
224|207|197|81.03
229|200|200|80.77
306|199|200|80.64
312|109|200|69.14
318|102|219|72.30
325|100|258|80.35
404|180|258|90.57
438|180|218|82.05
445|180|223|83.11
451|180|257|90.35
465|181|257|90.48
484|181|256|90.27
491|181|253|89.63
499|183|255|90.31
528|247|196|85.92
534|271|196|88.99
616|271|181|85.80
622|306|171|88.14
649|306|170|87.93
657|382|88|80.18
664|382|127|88.48
721|334|127|82.35
727|222|127|68.04
732|118|127|54.75
737|18|70|28.43
741|8|35|18.16
745|0|3|6.41
748|0|0|3.39
