TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.43
9|400|15|58.20
14|400|38|64.63
19|400|75|72.72
25|400|98|79.32
31|400|127|85.54
76|400|125|88.14
109|400|102|83.75
116|400|116|87.93
123|307|119|76.68
130|300|126|77.28
154|300|132|78.56
160|300|172|87.07
194|300|156|84.18
203|300|172|87.59
217|207|172|75.70
223|200|195|79.71
241|200|196|79.92
303|199|196|79.79
308|109|196|68.29
315|101|214|71.10
322|100|260|80.77
404|174|260|90.23
438|174|210|79.58
444|174|245|87.03
469|194|245|89.59
476|194|241|88.74
482|194|242|88.95
488|194|245|89.59
525|195|244|89.50
554|195|232|86.95
561|289|187|89.37
569|294|187|90.01
718|258|187|85.41
723|182|187|75.70
728|93|187|64.33
732|21|173|52.15
737|4|99|30.90
741|3|10|8.33
744|3|0|3.26
