TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
8|400|0|54.11
14|400|16|59.09
19|400|30|63.14
24|400|45|68.08
30|400|58|72.55
36|400|60|74.55
42|400|75|77.96
47|400|90|82.90
112|328|90|73.70
118|301|90|70.25
123|300|90|70.12
203|291|90|68.97
209|203|90|57.73
215|201|90|57.47
220|200|90|57.35
299|101|90|44.70
303|100|90|44.57
387|151|90|51.09
393|200|90|57.35
479|229|90|61.05
485|300|90|70.12
578|363|90|78.17
585|400|90|82.90
710|355|90|77.15
714|122|90|47.38
718|36|90|36.39
721|10|90|33.07
725|5|81|30.52
729|0|7|9.39
732|0|0|3.68
