TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
12|400|49|67.14
15|400|75|72.72
22|400|128|85.75
26|400|129|86.14
58|400|113|84.90
62|400|126|87.67
66|400|127|88.22
101|400|107|83.97
105|400|99|83.97
108|393|106|84.56
112|312|106|74.21
116|303|106|73.06
120|300|161|84.39
143|300|152|82.47
146|300|158|83.75
150|300|159|83.97
153|300|172|86.73
157|300|163|85.67
161|300|172|87.59
188|300|171|87.37
192|300|172|87.59
203|220|172|77.36
206|208|172|75.83
210|202|172|75.06
213|200|172|74.81
216|200|195|79.71
294|130|195|70.76
298|109|211|71.49
301|101|221|72.59
305|100|258|80.35
309|100|263|81.41
312|100|264|81.62
346|100|260|80.77
349|100|263|81.41
353|100|264|81.62
387|115|264|83.54
391|170|264|90.57
426|170|191|75.02
437|170|225|82.26
441|170|231|83.54
455|200|231|87.37
470|200|234|88.01
474|200|232|87.59
478|200|234|88.01
482|206|234|88.78
512|206|192|79.83
516|260|191|86.52
520|278|191|88.82
547|278|170|84.35
551|300|163|85.67
555|300|149|82.69
559|300|172|87.59
571|302|172|87.84
575|311|172|88.99
591|311|165|87.50
596|311|172|88.99
628|311|129|79.83
632|311|84|70.25
640|387|115|86.56
643|398|115|87.97
674|398|114|87.76
681|398|115|87.97
701|365|115|83.75
704|301|115|75.58
707|224|115|65.74
710|161|115|57.69
713|99|115|49.77
715|49|115|43.38
717|12|115|38.65
719|9|114|38.05
722|4|109|34.95
723|1|33|15.78
725|1|22|10.63
727|0|0|4.37
