TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.60
10|400|15|58.20
20|400|30|63.14
30|400|45|68.08
36|400|59|72.64
42|400|60|73.53
48|400|75|77.96
55|400|90|82.90
125|311|90|71.53
131|302|90|70.38
136|300|90|70.12
214|288|90|68.59
219|204|90|57.86
223|201|90|57.47
228|200|90|57.35
306|129|90|48.28
311|106|90|45.34
316|100|90|44.57
401|200|90|57.35
493|297|90|69.74
500|300|90|70.12
587|400|90|82.90
712|322|90|72.93
717|194|90|56.58
721|90|90|43.29
725|9|90|32.94
729|2|90|32.05
733|1|42|20.00
736|0|0|4.41
