TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
9|400|8|56.67
14|400|30|63.14
20|400|32|65.14
25|400|45|68.08
30|400|60|73.02
36|400|73|77.53
42|400|83|81.41
49|400|90|82.90
115|399|90|82.77
121|305|90|70.76
127|300|90|70.12
208|220|90|59.90
213|201|90|57.47
218|200|90|57.35
299|132|90|48.66
306|104|90|45.08
311|100|90|44.57
387|102|90|44.83
392|198|90|57.09
396|200|90|57.35
482|221|90|60.03
491|300|90|70.12
576|386|90|81.11
583|400|90|82.90
711|188|90|55.81
715|58|90|39.20
719|12|90|33.33
722|2|57|24.68
726|0|0|5.69
