TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
2|400|0|53.26
6|400|15|58.16
12|400|27|62.46
15|400|71|71.87
19|400|90|77.28
22|400|127|85.54
65|400|125|88.14
99|400|96|82.30
103|400|97|82.69
107|400|117|88.14
110|328|117|78.94
114|304|117|75.87
117|303|117|75.75
121|300|117|75.36
138|300|115|74.94
145|300|147|81.75
149|300|160|84.52
153|300|172|87.07
185|300|161|85.24
191|300|170|87.16
199|300|172|87.59
206|219|173|77.45
212|203|183|77.53
228|200|193|79.28
232|200|195|79.71
302|101|255|79.83
306|100|258|80.35
385|173|258|89.67
389|178|258|90.31
419|178|209|79.88
423|178|219|82.01
426|178|253|89.25
430|178|258|90.31
465|178|254|89.46
472|178|255|89.67
479|183|255|90.31
513|184|206|80.00
517|238|200|85.63
520|240|206|87.16
524|240|207|87.37
547|267|207|90.82
554|267|204|90.18
558|267|205|90.40
561|267|207|90.82
605|289|154|82.35
608|348|154|89.89
612|349|154|90.01
646|349|152|89.59
650|349|145|88.10
657|349|148|88.74
680|349|153|89.80
683|349|154|90.01
695|349|153|89.80
699|351|152|89.84
703|304|152|83.84
706|247|152|76.55
709|184|152|68.51
712|122|151|60.37
715|65|151|53.09
717|25|151|47.98
719|16|142|44.91
721|5|77|27.41
723|3|49|19.95
725|3|45|15.99
726|2|1|4.92
728|2|0|3.13
